No.,Alloy,Tg,Tx,Tl,GFA,Ref.,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,Y
642,Fe50Ni20Cr7Mo3P12C4B4,684.0,742.0,1299.0,2.0,63,0.526558891,58,0.57120862,1.61135421,1.63587312,0.37418053,0.61585835,1.20650407,0.37000205,0.23196904,0.39196472,0.87542145,0.60472601,0.51678758,0.09430894,0.12787148,0.66050808,2.0
643,Zr56Cu7.5Ni17.5Al15Nb4,704.0,766.0,1280.0,6.0,64,0.550000000,62,0.59843750,1.63806818,2.04115127,0.38608871,0.64687500,1.32986111,0.38857228,0.20938263,0.40469208,0.92127353,0.63093995,0.49598313,0.10763889,0.16521068,0.69531250,6.0
644,Zr54Cu9.5Ni17.5Al15Nb4,711.0,761.0,1268.0,6.0,64,0.560725552,50,0.60015773,1.63104904,2.10493330,0.38453765,0.63958991,1.36624776,0.38360628,0.21575226,0.39970429,0.91741638,0.62642857,0.50296963,0.08976661,0.13830048,0.67902208,6.0
645,Zr52Cu11.5Ni17.5Al15Nb4,716.0,769.0,1270.0,8.0,64,0.563779528,53,0.60551181,1.63780187,2.19363269,0.38721047,0.64724409,1.38808664,0.38853325,0.21003199,0.40313879,0.92788276,0.63270020,0.49740276,0.09566787,0.15118665,0.68897638,8.0
646,Zr50Cu13.5Ni17.5Al15Nb4,720.0,765.0,1279.0,6.0,64,0.562939797,45,0.59812353,1.62543980,2.08481582,0.38269135,0.63330727,1.36851521,0.37868037,0.22081629,0.39628180,0.90997530,0.62176333,0.50814586,0.08050089,0.12263622,0.66849101,6.0
647,Zr48Cu15.5Ni17.5Al15Nb4,729.0,771.0,1304.0,6.0,64,0.559049080,42,0.59125767,1.61666225,1.97846098,0.37924250,0.62346626,1.34086957,0.37171026,0.22835854,0.39180723,0.89576483,0.61352379,0.51548754,0.07304348,0.10777608,0.65567485,6.0
648,Fe42Co6Cr15Mo14C9B12Tm2,876.0,925.0,1427.0,2.0,65,0.613875263,49,0.64821303,1.66981134,3.21542515,0.40165002,0.68255081,1.67876588,0.40644341,0.18628018,0.41411565,0.98740188,0.66684824,0.47481529,0.08892922,0.17033063,0.71688858,2.0
649,Fe42Co6Cr15Mo14C11B10Tm2,872.0,923.0,1440.0,5.0,65,0.605555556,51,0.64097222,1.66404179,3.01118265,0.39922145,0.67638889,1.62500000,0.40349919,0.19042014,0.41218790,0.97742688,0.66081016,0.47893343,0.08978873,0.16638171,0.71180556,5.0
650,Fe42Co6Cr15Mo14C13B8Tm2,871.0,908.0,1444.0,8.0,65,0.603185596,37,0.62880886,1.64566550,2.75279851,0.39222462,0.65443213,1.58464223,0.38395578,0.20676730,0.40178571,0.94353355,0.64393449,0.49526218,0.06457243,0.11217351,0.68005540,8.0
651,Fe42Co6Cr15Mo14C15B6Tm2,850.0,893.0,1452.0,12.0,65,0.585399449,43,0.61501377,1.63598768,2.42910769,0.38792354,0.64462810,1.48338870,0.38205984,0.21335943,0.39914712,0.92908640,0.63355174,0.50154044,0.07142857,0.11696711,0.67424242,12.0
